Epictetus Quotes
"It's not what happens to you, but how you react to it that matters."
We have two ears and one mouth so that we can listen twice as much as we speak.
There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will.
"People are not disturbed by things, but by the view they take of them."
"The key is to keep company only with people who uplift you, whose presence calls forth your best."
"

"
"He is a wise man who does not grieve for the things which he has not, but rejoices for those which he has."
The greater the difficulty the more glory in surmounting it. Skillful pilots gain their reputation from storms and tempests.
"If you want to improve, be content to be thought foolish and stupid."
Only the educated are free.
"Wealth consists not in having great possessions, but in having few wants."
First say to yourself what you would be; and then do what you have to do.
It is impossible to begin to learn that which one thinks one already knows.
"It is the nature of the wise to resist pleasures, but the foolish to be a slave to them."
The world turns aside to let any man pass who knows where he is going.
"

"
"When you are offended at any man's fault, turn to yourself and study your own failings. Then you will forget your anger."
"Know, first, who you are, and then adorn yourself accordingly."
"Men are disturbed not by things, but by the view which they take of them."
"If you wish to be a writer, write."
"First learn the meaning of what you say, and then speak."
You are a little soul carrying around a corpse.
All religions must be tolerated... for every man must get to heaven in his own way.
"Nothing great is created suddenly, any more than a bunch of grapes or a fig. If you tell me that you desire a fig. I answer you that there must be time. Let it first blossom, then bear fruit, then ripen."
"Imagine for yourself a character, a model personality, whose example you determine to follow, in private as well as in public."
"

"
